Team,Group,Confederation,ELO,16,8,4,2,1
Qatar,A,AFC,1680,0,0,0,0,0
Ecuador,A,CONMEBOL,1833,0,0,0,0,0
Senegal,A,CAF,1687,1,0,0,0,0
Netherlands,A,UEFA,2040,1,1,0,0,0
England,B,UEFA,1920,1,1,0,0,0
Iran,B,AFC,1797,0,0,0,0,0
USA,B,CONCACAF,1798,1,0,0,0,0
Wales,B,UEFA,1790,0,0,0,0,0
Argentina,C,CONMEBOL,2143,1,1,1,1,1
Saudi Arabia,C,AFC,1635,0,0,0,0,0
Mexico,C,CONCACAF,1809,0,0,0,0,0
Poland,C,UEFA,1814,1,0,0,0,0
France,D,UEFA,2005,1,1,1,1,0
Australia,D,AFC,1719,1,0,0,0,0
Denmark,D,UEFA,1971,0,0,0,0,0
Tunisia,D,CAF,1707,0,0,0,0,0
Spain,E,UEFA,2048,1,0,0,0,0
Costa Rica,E,CONCACAF,1744,0,0,0,0,0
Germany,E,UEFA,1963,0,0,0,0,0
Japan,E,AFC,1787,1,0,0,0,0
Belgium,F,UEFA,2007,0,0,0,0,0
Canada,F,CONCACAF,1776,0,0,0,0,0
Morocco,F,CAF,1766,1,1,1,0,0
Croatia,F,UEFA,1927,1,1,1,0,0
Brazil,G,CONMEBOL,2169,1,1,0,0,0
Serbia,G,UEFA,1899,0,0,0,0,0
Switzerland,G,UEFA,1902,1,0,0,0,0
Cameroon,G,CAF,1610,0,0,0,0,0
Portugal,H,UEFA,2006,1,1,0,0,0
Ghana,H,CAF,1567,0,0,0,0,0
Uruguay,H,CONMEBOL,1936,0,0,0,0,0
South Korea,H,AFC,1786,1,0,0,0,0